,name,company,year,Price,kms_driven,fuel_type
484,Sunny XL,Nissan,2011,230000,52000,Petrol
485,Beat LT,Chevrolet,2012,130000,90001,Diesel
486,Suzuki Alto,Maruti,2017,270000,21000,Petrol
487,Suzuki Swift,Maruti,2012,280000,48006,Diesel
488,Innova 2.0,Toyota,2012,600000,80000,Diesel
489,Suzuki Swift,Maruti,2010,190000,74000,Diesel
490,Elite i20,Hyundai,2015,500000,22000,Petrol
491,XUV500 W10,Mahindra,2016,1065000,41000,Diesel
492,Polo Trendline,Volkswagen,2015,350000,25000,Diesel
493,Etios Liva,Toyota,2012,350000,85000,Diesel
494,TUV300 T4,Mahindra,2016,540000,29500,Diesel
495,Elite i20,Hyundai,2015,470000,30000,Petrol
496,Santro Xing,Hyundai,2014,179000,57000,Petrol
497,Suzuki Ciaz,Maruti,2016,650000,50000,Petrol
498,Eon Era,Hyundai,2013,190000,39700,Petrol
499,Elantra 1.8,Hyundai,2012,500000,65000,Petrol
500,Suzuki Swift,Maruti,2010,270000,67000,Diesel
501,Suzuki Zen,Maruti,2008,125000,46000,Petrol
502,Eon Era,Hyundai,2012,188000,38000,Petrol
503,Grand i10,Hyundai,2016,380000,27000,Petrol
504,Verna Fluidic,Hyundai,2011,365000,43000,Diesel
505,EcoSport Trend,Ford,2014,465000,47000,Petrol
506,i20 Magna,Hyundai,2011,240000,42000,Petrol
507,Beat Diesel,Chevrolet,2016,179999,19336,Diesel
508,Indica eV2,Tata,2015,140000,60105,Diesel
509,XF 2.2,Jaguar,2013,2190000,29000,Diesel
510,Q5 2.0,Audi,2014,2390000,34000,Diesel
511,3 Series,BMW,2011,1075000,35000,Diesel
512,Suzuki Swift,Maruti,2015,475000,22000,Petrol
513,X1 sDrive20d,BMW,2012,1025000,41000,Diesel
514,Suzuki S,Maruti,2016,615000,21000,Diesel
515,Suzuki Ertiga,Maruti,2013,475000,48000,Diesel
516,Suzuki Alto,Maruti,2016,270000,38000,Petrol
517,City SV,Honda,2014,475000,34000,Diesel
518,Vento Comfortline,Volkswagen,2011,240000,45933,Petrol
519,City 1.5,Honda,2005,120000,68000,Petrol
520,A4 2.0,Audi,2016,1900000,44000,Diesel
521,KUV100,Mahindra,2017,360000,35000,Diesel
522,Zest XE,Tata,2018,450000,102563,Diesel
523,XUV500 W8,Mahindra,2015,900000,28600,Diesel
524,Suzuki Swift,Maruti,2017,650000,41800,Diesel
525,Sumo Gold,Tata,2014,275000,116000,Diesel
526,Suzuki Swift,Maruti,2009,210000,59000,Petrol
527,Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
528,Suzuki Omni,Maruti,2009,85000,45000,Petrol
529,Pajero Sport,Mitsubishi,2015,1490000,42590,Diesel
530,Duster,Renault,2014,800000,7400,Diesel
531,Jetta Comfortline,Volkswagen,2009,450000,54500,Diesel
532,Suzuki Ertiga,Maruti,2012,1000000,200000,Diesel
533,A4 2.0,Audi,2013,1510000,27000,Diesel
534,S80 Summum,Volvo,2015,1850000,42000,Diesel
535,Corolla Altis,Toyota,2014,790000,29000,Petrol
536,Pajero Sport,Mitsubishi,2015,1725000,37000,Diesel
537,Beat LT,Chevrolet,2012,135000,36000,Petrol
538,X1,BMW,2011,1000000,34000,Diesel
539,Redi GO,Datsun,2018,299999,7000,Petrol
540,Benz C,Mercedes,2009,1225000,76000,Diesel
541,Scorpio SLX,Mahindra,2004,175000,60000,Diesel
542,Vento Comfortline,Volkswagen,2011,200000,95000,Diesel
543,Indigo CS,Tata,2017,270000,50000,Diesel
544,City ZX,Honda,2006,180000,50000,Petrol
545,Suzuki Wagon,Maruti,2008,140000,68000,Petrol
546,EcoSport Trend,Ford,2014,400000,16000,Petrol
547,Suzuki Swift,Maruti,2016,499000,51000,Diesel
548,Suzuki Omni,Maruti,2009,85000,56000,Petrol
549,Suzuki Zen,Maruti,2004,70000,100000,Petrol
550,Duster RxL,Renault,2015,550000,36000,Petrol
551,Suzuki Swift,Maruti,2014,370000,11523,Petrol
552,Suzuki Baleno,Maruti,2018,690000,1000,Petrol
553,WR V,Honda,2009,250000,60000,Petrol
554,Indigo CS,Tata,2016,110000,85000,Diesel
555,Duster 110,Renault,2013,490000,38600,Diesel
556,Scorpio LX,Mahindra,2009,320000,95500,Diesel
557,Suzuki Zen,Maruti,2004,68000,56000,Petrol
558,Suzuki Wagon,Maruti,2014,130000,37458,Petrol
559,Suzuki SX4,Maruti,2016,970000,85960,Diesel
560,Eon D,Hyundai,2018,280000,35000,Petrol
561,Scorpio SLX,Mahindra,2008,285000,80000,Diesel
562,Santro AE,Hyundai,2011,165000,45000,Petrol
563,Suzuki Swift,Maruti,2009,250000,51000,Diesel
564,Xylo D2,Mahindra,2011,390000,48000,Diesel
565,Santro,Hyundai,2003,60000,51000,Petrol
566,Beat LT,Chevrolet,2015,215000,90000,Diesel
567,Suzuki Swift,Maruti,2015,475000,43000,Diesel
568,XUV500 W8,Mahindra,2015,899000,53000,Diesel
569,Fortuner 3.0,Toyota,2013,1499000,97000,Diesel
570,Suzuki Alto,Maruti,2013,240000,20000,Petrol
571,Getz GLE,Hyundai,2007,99000,55000,Petrol
572,Suzuki Swift,Maruti,2014,260000,120000,Diesel
573,Santro Xing,Hyundai,2007,115000,46000,Petrol
574,Santro Xing,Hyundai,2009,88000,43200,Petrol
575,Xylo D2,Mahindra,2011,390000,56000,Diesel
576,Santro Xing,Hyundai,2007,135000,42000,Petrol
577,Indica V2,Tata,2009,90000,30600,Diesel
578,i10 Sportz,Hyundai,2011,220000,38000,Petrol
579,Grand i10,Hyundai,2017,424999,2550,Petrol
580,Santro Xing,Hyundai,2007,135000,47000,Petrol
581,City 1.5,Honda,2005,95000,41000,Petrol
582,Micra XL,Nissan,2017,430000,62500,Diesel
583,City 1.5,Honda,2005,115000,68000,Petrol
584,Suzuki Alto,Maruti,2015,215000,50000,Petrol
585,Suzuki Wagon,Maruti,2004,53000,69000,Petrol
586,Suzuki Ertiga,Maruti,2012,500000,48000,Diesel
587,Indica eV2,Tata,2012,85000,55000,Diesel
588,Suzuki Omni,Maruti,2013,165000,25000,Petrol
589,Eon Era,Hyundai,2014,200000,28400,Petrol
590,Eon,Hyundai,2014,200000,28000,Petrol
591,Suzuki Swift,Maruti,2015,425000,42000,Diesel
592,Verna 1.6,Hyundai,2012,600000,29000,Diesel
593,Tavera LS,Chevrolet,2005,130000,68485,Diesel
594,Tiago Revotron,Tata,2018,430000,3500,Petrol
595,Suzuki Zen,Maruti,2006,71000,32000,Petrol
596,KUV100 K8,Mahindra,2018,560000,8000,Diesel
597,EcoSport Titanium,Ford,2014,590000,34000,Diesel
598,Motors Ambassador,Hindustan,1995,750000,37000,Petrol
599,Fusion 1.4,Ford,2007,125000,85455,Diesel
600,Santro Xing,Hyundai,2007,135000,46000,Petrol
601,Santro,Hyundai,2002,60000,47000,Petrol
602,Linea Emotion,Fiat,2009,120000,64000,Petrol
603,Ikon 1.3,Ford,2008,95000,46000,Petrol
604,Suzuki Omni,Maruti,2017,240000,8000,Petrol
605,Indica V2,Tata,2012,115000,64000,Diesel
606,Scorpio S4,Mahindra,2015,795000,63000,Diesel
607,Santro Xing,Hyundai,2007,55000,65000,Petrol
608,Xylo D2,Mahindra,2009,300000,62000,Diesel
609,Grand i10,Hyundai,2014,320000,41000,Petrol
610,Suzuki Alto,Maruti,2015,265000,14000,Petrol
611,Corolla,Toyota,2006,160000,40000,Petrol
612,Eon Magna,Hyundai,2017,300000,1600,Petrol
613,Sumo Grande,Tata,2010,130000,90000,Diesel
614,Suzuki Swift,Maruti,2011,250000,58000,Diesel
615,Polo Highline1.2L,Volkswagen,2013,380000,27000,Petrol
616,Tiago Revotron,Tata,2017,400000,31000,Petrol
617,Suzuki Swift,Maruti,2009,120000,90000,Diesel
618,Indigo eCS,Tata,2016,130000,150000,Diesel
619,Beat LS,Chevrolet,2014,189000,31000,Diesel
620,Xylo E8,Mahindra,2011,365000,43000,Diesel
621,Eon D,Hyundai,2013,170000,20000,Petrol
622,Sumo Gold,Tata,2013,215000,100000,Petrol
623,Nano,Tata,2013,60000,7000,Petrol
624,Elite i20,Hyundai,2017,599999,31000,Petrol
625,i10 Magna,Hyundai,2009,400000,33000,Petrol
626,Creta,Hyundai,2016,900000,60000,Diesel
627,Polo,Volkswagen,2013,299999,48000,Diesel
628,Suzuki Dzire,Maruti,2014,374999,33000,Petrol
629,Bolt XM,Tata,2015,600000,15000,Petrol
630,Suzuki Alto,Maruti,2005,70000,47000,Petrol
631,Suzuki Alto,Maruti,2005,100000,40000,Petrol
632,Suzuki Ritz,Maruti,2010,150000,38000,Diesel
633,Suzuki Alto,Maruti,2017,225000,12500,Petrol
634,Suzuki Dzire,Maruti,2009,210000,42000,Petrol
635,i20 Asta,Hyundai,2014,425000,31000,Petrol
636,Suzuki Swift,Maruti,2008,162000,60000,Diesel
637,Indica V2,Tata,2005,60000,80000,Diesel
638,Scorpio VLX,Mahindra,2014,650000,77000,Diesel
639,Innova 2.5,Toyota,2012,750000,75000,Diesel
640,Xylo E8,Mahindra,2010,375000,40000,Diesel
641,i20 Magna,Hyundai,2011,230000,47000,Petrol
642,KUV100,Mahindra,2016,380000,26500,Petrol
643,KUV100 K8,Mahindra,2019,560000,2875,Petrol
644,Go Plus,Datsun,2016,285000,13900,Petrol
645,Endeavor 4x4,Ford,2019,2900000,9000,Diesel
646,Santro Xing,Hyundai,2006,85000,60000,Petrol
647,Suzuki Wagon,Maruti,2016,395000,20000,Petrol
648,Suzuki Swift,Maruti,2008,175000,58000,Diesel
649,Suzuki Alto,Maruti,2019,400000,1500,Petrol
650,Innova 2.5,Toyota,2011,750000,75000,Diesel
651,Suzuki Alto,Maruti,2016,250000,2450,Petrol
652,Suzuki Alto,Maruti,2019,425000,1625,Petrol
653,Polo Highline1.2L,Volkswagen,2017,525000,45000,Petrol
654,Logan,Mahindra,2009,130000,65000,Diesel
655,Scorpio,Mahindra,2011,475000,60123,Diesel
656,Sail 1.2,Chevrolet,2013,300000,28000,Petrol
657,Santro AE,Hyundai,2003,60000,70000,Petrol
658,Suzuki Wagon,Maruti,2006,100000,7000,Petrol
659,Eon,Hyundai,2018,260000,25000,Petrol
660,Manza,Tata,2015,100000,100000,Diesel
661,Etios G,Toyota,2013,265000,42000,Petrol
662,Qualis,Toyota,2003,180000,100000,Diesel
663,Indica eV2,Tata,2016,50500,91200,Diesel
664,City 1.5,Honda,2009,270000,55000,Petrol
665,Zest XE,Tata,2017,290000,120000,Diesel
666,Quanto C4,Mahindra,2013,325000,63000,Diesel
667,Indigo eCS,Tata,2016,160000,104000,Diesel
668,Suzuki Swift,Maruti,2016,350000,146000,Diesel
669,Elite i20,Hyundai,2011,290000,40000,Petrol
670,i20 Select,Hyundai,2011,290000,40000,Petrol
671,Tavera Neo,Chevrolet,2007,465000,100800,Diesel
672,Suzuki Dzire,Maruti,2016,325000,150000,Diesel
673,Elite i20,Hyundai,2018,510000,2100,Petrol
674,City VX,Honda,2016,860000,95000,Petrol
675,Suzuki Dzire,Maruti,2016,450000,2500,Diesel
676,Getz,Hyundai,2006,125000,80000,Petrol
677,Benz C,Mercedes,2006,500001,15000,Petrol
678,Suzuki Alto,Maruti,2005,95000,65000,Petrol
679,Fabia,Skoda,2009,110000,45000,Petrol
680,Suzuki Ritz,Maruti,2011,270000,50000,Petrol
681,Indica V2,Tata,2009,110000,30000,Diesel
682,Corolla Altis,Toyota,2009,300000,132000,Petrol
683,Zest XM,Tata,2018,260000,27000,Diesel
684,Quanto C8,Mahindra,2013,390000,40000,Diesel
